name,tags,data_cols,data_visits
parcels,"{'x': '-109', 'y': '-2'}","['time', 'first']","[[1617206760000, 1], [1617228720000, 1], [1617237120000, 1], [1617248280000, 1], [1617254400000, 1], [1617385680000, 1], [1617417120000, 1], [1617444120000, 1], [1617458520000, 1], [1617553440000, 1], [1617645840000, 1], [1617802200000, 1], [1617859560000, 1], [1617859680000, 1], [1617927240000, 1], [1617999720000, 1], [1618352640000, 1], [1618512000000, 1], [1618563600000, 1], [1618905720000, 1], [1618943400000, 1], [1618943520000, 1], [1619065440000, 1], [1619216400000, 1], [1619223480000, 1], [1619457000000, 2], [1619461560000, 1], [1619648280000, 1], [1619651160000, 1], [1620113400000, 1], [1620116640000, 1], [1620125760000, 1], [1620126360000, 1], [1620310080000, 1], [1620590640000, 1], [1620902400000, 1], [1621038120000, 1], [1621074960000, 1], [1621302480000, 1], [1621349760000, 1]]"
parcels,"{'x': '-109', 'y': '-20'}","['time', 'first']","[[1617677160000, 1], [1617770400000, 1], [1618055280000, 1], [1618262280000, 1], [1619648160000, 1], [1619823960000, 1]]"
parcels,"{'x': '-109', 'y': '-21'}","['time', 'first']","[[1618057320000, 1], [1618407360000, 1]]"
parcels,"{'x': '-109', 'y': '-22'}","['time', 'first']","[[1617950040000, 1], [1618620360000, 1], [1618620480000, 1]]"
parcels,"{'x': '-109', 'y': '-23'}","['time', 'first']","[[1618620480000, 1]]"
parcels,"{'x': '-109', 'y': '-24'}","['time', 'first']","[[1617679680000, 1], [1617679800000, 1], [1618771560000, 1], [1619990280000, 1]]"
parcels,"{'x': '-109', 'y': '-25'}","['time', 'first']","[[1617215040000, 1], [1620590760000, 1]]"
parcels,"{'x': '-109', 'y': '-26'}","['time', 'first']","[[1617657720000, 1], [1617938760000, 1], [1618169400000, 1], [1619662200000, 1], [1619705400000, 1], [1622208720000, 1]]"
parcels,"{'x': '-109', 'y': '-27'}","['time', 'first']","[[1617105720000, 1], [1617312600000, 1], [1617667920000, 1], [1617672840000, 1], [1617729360000, 1], [1617729480000, 1], [1617762960000, 1], [1618566480000, 1], [1619527440000, 1], [1619705400000, 1]]"
parcels,"{'x': '-109', 'y': '-28'}","['time', 'first']","[[1617481080000, 1], [1617741120000, 1], [1617754320000, 1], [1617843720000, 1], [1617843840000, 1], [1617979560000, 1], [1618093320000, 1], [1618115520000, 1], [1618255680000, 1], [1618255800000, 1], [1618598760000, 1], [1620588240000, 1], [1620762000000, 1], [1621447680000, 1]]"
parcels,"{'x': '-109', 'y': '-29'}","['time', 'first']","[[1617258360000, 1], [1617480960000, 1], [1617671400000, 1], [1617679680000, 1], [1617722880000, 1], [1617749160000, 1], [1617852960000, 1], [1617910320000, 1], [1617916800000, 1], [1617955200000, 1], [1617979560000, 1], [1618059720000, 1], [1618070760000, 1], [1618073040000, 1], [1618078800000, 1], [1618134960000, 1], [1618152000000, 1], [1618283640000, 1], [1618380000000, 1], [1618512840000, 1], [1618527840000, 1], [1618690200000, 1], [1618693320000, 1], [1620236400000, 1], [1620382560000, 1], [1620509280000, 1], [1621784640000, 1], [1622230440000, 1]]"
parcels,"{'x': '-109', 'y': '-3'}","['time', 'first']","[[1617300360000, 1], [1619457000000, 2], [1619804160000, 1], [1621525080000, 1]]"
parcels,"{'x': '-109', 'y': '-30'}","['time', 'first']","[[1617328200000, 1], [1617480720000, 1], [1617480840000, 1], [1617670320000, 1], [1617717120000, 1], [1617717360000, 1], [1617730560000, 1], [1617741720000, 1], [1617745080000, 1], [1617745200000, 1], [1617747120000, 1], [1617760920000, 1], [1617761040000, 1], [1617769920000, 1], [1617773760000, 1], [1617773880000, 1], [1617812520000, 1], [1617905760000, 1], [1617912240000, 1], [1617913200000, 1], [1617916800000, 1], [1617979560000, 1], [1618043160000, 1], [1618055280000, 1], [1618066920000, 1], [1618067280000, 1], [1618068360000, 1], [1618069080000, 1], [1618072800000, 1], [1618072920000, 1], [1618073040000, 1], [1618078800000, 1], [1618100880000, 1], [1618101000000, 1], [1618123080000, 1], [1618134960000, 1], [1618255680000, 1], [1618288560000, 1], [1618323600000, 1], [1618524120000, 1], [1618616280000, 1], [1618628040000, 1], [1618670280000, 1], [1620355680000, 1], [1620524760000, 1], [1620571320000, 1], [1621447680000, 1], [1622230440000, 1], [1622251440000, 1], [1622251800000, 1]]"
parcels,"{'x': '-109', 'y': '-31'}","['time', 'first']","[[1617257880000, 1], [1617258360000, 1], [1617328200000, 1], [1617480720000, 1], [1617652080000, 1], [1617652200000, 1], [1617673560000, 1], [1617678360000, 1], [1617696960000, 1], [1617719040000, 1], [1617745080000, 1], [1617747120000, 1], [1617749160000, 1], [1617819720000, 1], [1617844200000, 1], [1617914160000, 1], [1618052640000, 1], [1618054440000, 1], [1618055040000, 1], [1618067280000, 1], [1618068000000, 1], [1618069080000, 1], [1618078800000, 1], [1618089840000, 1], [1618115640000, 1], [1618117320000, 1], [1618123080000, 1], [1618152000000, 1], [1618153560000, 1], [1618174200000, 1], [1618174320000, 1], [1618176720000, 1], [1618479240000, 1], [1619703600000, 1], [1619981640000, 1], [1620240480000, 1], [1620459720000, 1], [1622231760000, 1]]"
parcels,"{'x': '-109', 'y': '-32'}","['time', 'first']","[[1617651840000, 1], [1617668040000, 1], [1617670320000, 1], [1617747120000, 1], [1617768360000, 1], [1617808080000, 1], [1617890400000, 1], [1617938160000, 1], [1618068360000, 1], [1618138680000, 1], [1618211520000, 1], [1618345320000, 1], [1618641840000, 1], [1618728840000, 1], [1618765680000, 1], [1619981640000, 1], [1620239880000, 1], [1620240480000, 1], [1620445080000, 1], [1620459720000, 1], [1620627240000, 1], [1621441800000, 1], [1622047680000, 1], [1622231760000, 1], [1622251800000, 1]]"
parcels,"{'x': '-109', 'y': '-33'}","['time', 'first']","[[1617215280000, 1], [1617684240000, 1], [1618072800000, 1], [1618180320000, 1], [1618464720000, 1], [1618774920000, 1], [1619993640000, 1], [1620032880000, 1], [1620033000000, 1], [1620033120000, 1], [1620033240000, 1], [1620033360000, 1], [1620033480000, 1], [1620033600000, 1], [1620055920000, 1], [1620056040000, 1], [1620159120000, 1], [1621448040000, 1], [1622047680000, 1], [1622047800000, 1]]"
parcels,"{'x': '-109', 'y': '-34'}","['time', 'first']","[[1617791640000, 1], [1617999480000, 1], [1618194120000, 1], [1618194240000, 1], [1620240000000, 1], [1621525800000, 1]]"
parcels,"{'x': '-109', 'y': '-35'}","['time', 'first']","[[1617926040000, 1]]"
parcels,"{'x': '-109', 'y': '-36'}","['time', 'first']","[[1617999360000, 1], [1618804560000, 1], [1622243760000, 1]]"
parcels,"{'x': '-109', 'y': '-37'}","['time', 'first']","[[1619234280000, 1], [1619767320000, 1]]"
parcels,"{'x': '-109', 'y': '-38'}","['time', 'first']","[[1617489600000, 1], [1617999360000, 1], [1620664320000, 1], [1620732000000, 1], [1620762480000, 1], [1620772320000, 1], [1620772440000, 1], [1621648800000, 1]]"
parcels,"{'x': '-109', 'y': '-39'}","['time', 'first']","[[1617911640000, 1], [1617964200000, 1], [1618014000000, 1], [1618014120000, 1], [1618078920000, 1], [1618088640000, 1], [1618519920000, 1], [1618549920000, 1], [1618570200000, 1], [1618785720000, 1], [1618804560000, 1], [1618877640000, 1], [1618892880000, 1], [1619273160000, 1], [1619311920000, 1], [1620662640000, 1], [1620664320000, 1], [1620664440000, 2], [1620683400000, 1], [1620683520000, 2], [1620687240000, 1], [1620687360000, 1], [1620727920000, 1], [1620762360000, 1], [1620769800000, 1], [1620770880000, 1], [1620772320000, 1], [1620772440000, 2], [1620871080000, 1], [1621042560000, 1], [1621059000000, 1], [1621133760000, 1]]"
parcels,"{'x': '-109', 'y': '-4'}","['time', 'first']","[[1617510480000, 1], [1617999720000, 1], [1618095360000, 1], [1618095480000, 1], [1618512000000, 1], [1619065440000, 1], [1619457000000, 1], [1619461560000, 1], [1619648160000, 1], [1619651040000, 1], [1619804160000, 1], [1620116640000, 1], [1620125760000, 1], [1621074960000, 1], [1621302480000, 1], [1621349760000, 1], [1621525080000, 1]]"
parcels,"{'x': '-109', 'y': '-40'}","['time', 'first']","[[1617979320000, 1], [1617981960000, 1], [1618000920000, 1], [1618078920000, 1], [1618765200000, 1], [1618804560000, 1], [1618914120000, 1], [1618914240000, 1], [1619227680000, 1], [1620762360000, 1]]"
parcels,"{'x': '-109', 'y': '-41'}","['time', 'first']","[[1617987480000, 1], [1617999360000, 1], [1618002240000, 1], [1619289480000, 1], [1619289600000, 1], [1619289720000, 1], [1619289840000, 1], [1619289960000, 1], [1619290080000, 1], [1619290200000, 1], [1619290320000, 1], [1619290440000, 1], [1619290560000, 1], [1619290680000, 1], [1619290800000, 1], [1619290920000, 1], [1619291040000, 1], [1619291160000, 1], [1619291280000, 1], [1619291400000, 1], [1619300520000, 1], [1622197680000, 1]]"
parcels,"{'x': '-109', 'y': '-42'}","['time', 'first']","[[1617813600000, 1], [1617979560000, 1], [1617996600000, 1], [1618540680000, 1], [1619286480000, 1], [1619882520000, 1], [1620274200000, 1], [1620437040000, 1], [1620667680000, 1], [1621131000000, 1], [1621727400000, 1], [1621914000000, 1]]"
parcels,"{'x': '-109', 'y': '-43'}","['time', 'first']","[[1617662640000, 1], [1618570320000, 1], [1618765320000, 1], [1620009480000, 1], [1620237960000, 1], [1620281880000, 1], [1620742920000, 1]]"
parcels,"{'x': '-109', 'y': '-44'}","['time', 'first']","[[1617085560000, 1], [1617669240000, 1], [1617669360000, 1], [1617987480000, 1], [1617998280000, 1], [1617998880000, 1], [1618604160000, 1], [1618765320000, 1], [1618767480000, 1], [1618792800000, 1], [1618982520000, 1], [1618982640000, 1], [1619901240000, 1], [1619928120000, 1], [1621723680000, 1], [1622136000000, 1]]"
parcels,"{'x': '-109', 'y': '-45'}","['time', 'first']","[[1617113880000, 1], [1617417480000, 1], [1617669360000, 1], [1617987480000, 1], [1618006680000, 1], [1618092000000, 1], [1618765320000, 1], [1619200800000, 1], [1619303160000, 1], [1620588600000, 1], [1620873240000, 1]]"
