ds,avg_passenger_count,sum_passenger_count,log_sum_passenger_count,avg_trip_distance,sum_trip_distance,log_sum_trip_distance,avg_fare_amount,sum_fare_amount,log_sum_fare_amount,avg_tip_amount,sum_tip_amount,log_sum_tip_amount
2009-6-13,1.821735268,6152.0,3.789016327,2.698033758,9111.26,3.95957844,9.786970684,33050.6,4.519179348,0.453742967,1532.29,3.185340967
2009-6-14,1.802884615,5250.0,3.720159303,3.110700549,9058.36,3.957049577,10.59378434,30849.1,4.489242498,0.594237637,1730.42,3.238151526
2009-6-15,1.667547045,5051.0,3.703377369,2.822677451,8549.89,3.931960527,9.956190162,30157.3,4.479392456,0.589848135,1786.65,3.252039484
2009-6-16,1.602622751,5255.0,3.72057272,2.752686795,9026.06,3.955498216,10.00805124,32816.4,4.516090937,0.629414456,2063.85,3.31467813
2009-6-17,1.636389441,5765.0,3.760799312,2.636829407,9289.55,3.967994677,9.802185637,34533.1,4.538235566,0.602980414,2124.3,3.327215849
2009-6-18,1.671006238,6161.0,3.789651209,2.607301329,9613.12,3.982864364,9.997236235,36859.81,4.566553092,0.650094928,2396.9,3.379649915
2009-6-19,1.708265362,6283.0,3.79816706,2.785454051,10244.9,4.010507724,10.09564981,37131.8,4.569746003,0.552338227,2031.5,3.307816827
2009-6-20,1.826868226,6405.0,3.806519134,2.671851112,9367.51,3.971624165,9.627150599,33752.79,4.528309677,0.470410724,1649.26,3.217289126
2009-6-21,1.798618307,5207.0,3.716587578,3.036829016,8791.62,3.944068908,10.32518135,29891.4,4.475546256,0.592614853,1715.62,3.2344211
2009-6-22,1.609099967,4845.0,3.685293781,2.808316174,8455.84,3.927156757,9.885453338,29765.1,4.473707346,0.602052474,1812.78,3.258345101
2009-6-23,1.640316206,5395.0,3.731991449,2.713827911,8925.78,3.950646178,10.01775616,32948.4,4.51783433,0.595618729,1958.99,3.292032219
2009-6-24,1.639504751,5694.0,3.755417463,2.688813706,9338.25,3.970265497,10.09890585,35073.5,4.544979106,0.62156061,2158.68,3.334188268
2009-6-25,1.666855044,5899.0,3.770778396,2.66234247,9422.03,3.974144483,10.10642837,35766.65,4.553478265,0.614328906,2174.11,3.337281514
2009-6-26,1.680165289,6099.0,3.785258633,2.746426997,9969.53,3.998674685,10.25162534,37213.4,4.570699351,0.581834711,2112.06,3.324706252
2009-6-27,1.800358637,6024.0,3.779884963,2.849479976,9534.36,3.979291546,10.11258219,33836.7,4.529388001,0.532887029,1783.04,3.251161086
2009-6-28,1.769178547,5212.0,3.717004407,2.977382892,8771.37,3.943067431,10.45444671,30798.8,4.488533796,0.611211813,1800.63,3.255424482
2009-6-29,1.689509581,5202.0,3.716170348,2.824407275,8696.35,3.93933701,9.988502761,30754.6,4.487910083,0.592598246,1824.61,3.261170051
